,location,total_sqft,bath,price,bhk
6717,Whitefield,2403.0,4.0,270.0,4
6718,Old Madras Road,1350.0,3.0,47.25,3
6719,Old Madras Road,4062.5,2.0,341.0,4
6720,other,1175.0,2.0,79.0,2
6721,Talaghattapura,921.0,2.0,29.47,2
6722,Malleshwaram,4000.0,4.0,1100.0,4
6723,Sultan Palaya,1713.0,3.0,125.0,3
6724,other,1200.0,2.0,43.0,2
6725,8th Phase JP Nagar,1900.0,4.0,90.0,3
6726,Kudlu Gate,1664.0,3.0,68.0,3
6727,Binny Pete,1795.0,3.0,139.0,3
6728,Kereguddadahalli,600.0,1.0,19.5,1
6729,Hoodi,1240.0,2.0,65.0,2
6730,Hegde Nagar,1965.0,4.0,132.0,3
6731,Vishveshwarya Layout,600.0,4.0,99.0,3
6732,Sarjapur,4111.0,4.0,370.0,4
6733,Electronics City Phase 1,1200.0,2.0,59.76,2
6734,Ganga Nagar,1112.0,2.0,68.0,2
6735,Raja Rajeshwari Nagar,3000.0,3.0,60.0,3
6736,Mahadevpura,1136.0,2.0,64.5,2
6737,Jigani,914.0,2.0,55.0,2
6738,Poorna Pragna Layout,1270.0,2.0,50.79,3
6739,Rachenahalli,1050.0,2.0,47.25,2
6740,Marathahalli,1385.0,2.0,68.5,3
6741,other,990.0,2.0,35.0,2
6742,Yelahanka,845.0,2.0,43.0,2
6743,Whitefield,1485.0,2.0,96.51,2
6744,Kanakapura,1460.0,2.0,43.79,3
6745,Thanisandra,1450.0,2.0,57.0,2
6746,HSR Layout,1360.0,2.0,53.0,3
6747,Singasandra,1375.0,2.0,58.0,2
6748,Uttarahalli,1125.0,2.0,48.0,2
6749,Banashankari,720.0,1.0,60.0,1
6750,7th Phase JP Nagar,1460.0,2.0,100.0,3
6751,other,1107.0,2.0,40.0,2
6752,other,1158.0,2.0,75.0,2
6753,Yelachenahalli,800.0,1.0,30.0,2
6754,Sector 2 HSR Layout,600.0,9.0,90.0,9
6755,Bhoganhalli,1760.0,3.0,128.0,3
6756,other,3200.0,4.0,200.0,4
6757,HAL 2nd Stage,600.0,3.0,145.0,2
6758,TC Palaya,1350.0,3.0,60.0,3
6759,Giri Nagar,600.0,6.0,100.0,6
6760,other,1125.0,2.0,32.49,2
6761,Frazer Town,1706.0,3.0,154.0,3
6762,BTM Layout,1600.0,3.0,112.0,3
6763,other,1200.0,2.0,90.0,2
6764,Whitefield,1755.0,3.0,101.0,3
6765,Hulimavu,1200.0,2.0,50.0,2
6766,BEML Layout,1200.0,2.0,67.0,2
6767,other,1266.67,2.0,69.0,2
6768,other,1800.0,3.0,90.0,3
6769,Sector 7 HSR Layout,1200.0,4.0,275.0,3
6770,2nd Phase Judicial Layout,1300.0,3.0,64.0,3
6771,other,800.0,3.0,60.0,3
6772,Whitefield,4800.0,5.0,550.0,4
6773,Mysore Road,1029.5,2.0,50.855,2
6774,Raja Rajeshwari Nagar,1128.0,2.0,40.0,2
6775,other,2000.0,2.0,160.0,2
6776,Panathur,1210.0,2.0,80.0,2
6777,Arekere,2710.0,6.0,142.0,4
6778,Raja Rajeshwari Nagar,1151.0,2.0,39.0,2
6779,Rajaji Nagar,7500.0,8.0,1700.0,5
6780,other,1464.0,3.0,56.0,3
6781,Electronic City,1017.0,2.0,27.0,2
6782,Sarjapur  Road,920.0,2.0,40.0,2
6783,HRBR Layout,1200.0,3.0,180.0,4
6784,other,1000.0,5.0,140.0,5
6785,Munnekollal,1750.0,3.0,86.5,3
6786,Dasanapura,1163.0,2.0,65.0,2
6787,7th Phase JP Nagar,1650.0,3.0,110.0,3
6788,other,1800.0,3.0,95.0,3
6789,CV Raman Nagar,1100.0,2.0,58.0,2
6790,R.T. Nagar,1200.0,2.0,60.0,2
6791,Ganga Nagar,1410.0,3.0,65.0,3
6792,Begur Road,1933.0,3.0,98.0,3
6793,Begur Road,1200.0,2.0,45.6,2
6794,Whitefield,1608.0,2.0,63.0,3
6795,other,2679.0,5.0,280.0,4
6796,Horamavu Banaswadi,1156.0,2.0,46.9,2
6797,other,1230.0,2.0,75.0,2
6798,Kasavanhalli,770.0,1.0,43.82,1
6799,Ardendale,1777.26,3.0,105.0,3
6800,Kanakpura Road,1339.0,2.0,85.0,2
6801,Sarjapur  Road,3044.0,3.0,183.0,3
6802,other,1080.0,2.0,44.8,2
6803,other,3150.0,5.0,145.0,8
6804,Nagadevanahalli,2400.0,2.0,135.0,2
6805,Hulimavu,1450.0,3.0,72.0,3
6806,Kothanur,1075.0,2.0,53.0,2
6807,Sarjapur  Road,1163.0,2.0,62.0,3
6808,TC Palaya,1200.0,2.0,65.0,2
6809,other,1200.0,8.0,135.0,8
6810,Marathahalli,3090.0,4.0,325.0,4
6811,Hebbal,1299.0,2.0,100.0,2
6812,Electronic City,1130.0,2.0,32.63,2
6813,HRBR Layout,1170.0,2.0,75.0,2
6814,JP Nagar,2195.0,2.0,152.0,3
6815,Yelahanka,2600.0,4.0,175.0,4
6816,KR Puram,1140.0,2.0,43.32,2
6817,Kanakpura Road,1900.0,3.0,125.0,3
6818,Bommasandra Industrial Area,1090.0,2.0,31.48,2
6819,Electronic City,1110.0,2.0,39.95,2
6820,Nagavarapalya,705.0,1.0,57.0,1
6821,HBR Layout,1089.0,2.0,60.0,2
6822,other,880.0,2.0,48.0,2
6823,Kereguddadahalli,1080.0,2.0,32.0,2
6824,Thanisandra,1093.0,2.0,68.1,2
6825,Banashankari Stage III,1480.0,3.0,75.48,3
6826,Hegde Nagar,1703.0,3.0,125.0,3
6827,Hebbal,1200.0,2.0,60.0,2
6828,Marathahalli,1690.0,3.0,116.0,3
6829,Yelahanka,1305.0,2.0,78.0,2
6830,Talaghattapura,1257.0,2.0,40.22,3
6831,other,1150.0,2.0,45.0,2
6832,other,1194.0,2.0,55.0,2
6833,other,2000.0,3.0,90.0,3
6834,Anekal,1500.0,4.0,99.0,3
6835,other,1025.0,2.0,42.5,2
6836,Horamavu Agara,980.0,2.0,38.19,2
6837,Hosakerehalli,1200.0,2.0,100.0,3
6838,Whitefield,2225.0,3.0,149.0,3
6839,other,1022.0,2.0,57.0,2
6840,other,882.0,3.0,72.0,4
6841,Narayanapura,1153.0,2.0,45.0,2
6842,Pai Layout,1175.0,2.0,60.0,2
6843,Vidyaranyapura,1560.0,3.0,68.0,3
6844,Yelahanka New Town,650.0,1.0,17.0,1
6845,other,600.0,3.0,65.0,3
6846,Billekahalli,1350.0,3.0,55.0,2
6847,other,1200.0,2.0,76.0,2
6848,other,1200.0,1.0,54.0,2
6849,Chandapura,800.0,2.0,25.0,2
6850,Electronic City,2093.0,4.0,104.0,4
6851,Uttarahalli,1320.0,2.0,55.44,3
6852,Bannerghatta Road,1275.0,2.0,73.0,2
6853,Begur Road,1215.0,2.0,43.13,2
6854,Kanakapura,1130.0,2.0,45.2,2
6855,Begur Road,1444.0,2.0,71.5,3
6856,other,950.0,2.0,38.0,2
6857,Padmanabhanagar,1000.0,1.0,90.0,2
6858,Banashankari Stage II,1240.0,2.0,59.52,3
6859,2nd Stage Nagarbhavi,600.0,4.0,125.0,4
6860,Hennur,1231.0,2.0,50.0,2
6861,Benson Town,1300.0,2.0,120.0,2
6862,Yeshwanthpur,1713.0,3.0,110.0,3
6863,Kogilu,1200.0,2.0,53.33,2
6864,Sarjapur  Road,3004.0,4.0,158.0,3
6865,Sonnenahalli,1310.0,2.0,46.0,3
6866,Jalahalli,790.0,2.0,49.5,2
6867,Koramangala,1744.0,3.0,200.0,3
6868,other,1605.0,3.0,100.0,3
6869,Whitefield,1250.0,2.0,82.0,2
6870,Malleshwaram,2476.0,3.0,337.0,3
6871,Subramanyapura,1260.0,2.0,76.0,3
6872,Rajaji Nagar,1615.0,3.0,175.0,3
6873,Yelahanka,1180.0,2.0,56.0,2
6874,Uttarahalli,1255.0,2.0,50.19,3
6875,Electronic City,1025.0,2.0,53.9,2
6876,Sarjapur  Road,1877.0,4.0,150.0,3
6877,Lakshminarayana Pura,1649.0,3.0,150.0,3
6878,Hennur,2500.0,5.0,125.0,5
6879,other,1542.0,3.0,98.0,3
6880,Thigalarapalya,1418.0,2.0,105.0,2
6881,other,1012.0,2.0,42.0,2
6882,Chandapura,1200.0,2.0,65.0,2
6883,Sarjapur  Road,1115.0,2.0,43.0,2
6884,Green Glen Layout,1680.0,4.0,95.0,3
6885,Old Madras Road,1171.0,2.0,72.0,2
6886,Tumkur Road,1027.0,2.0,68.62,2
6887,Shampura,1700.0,3.0,75.0,3
6888,Kanakapura,1090.0,2.0,38.15,2
6889,Hennur Road,1232.0,2.0,74.0,2
6890,Anekal,766.0,2.0,28.0,2
6891,Banashankari Stage III,1200.0,5.0,180.0,5
6892,Kanakpura Road,525.0,1.0,27.0,1
6893,JP Nagar,1452.0,2.0,41.0,3
6894,Choodasandra,1254.0,2.0,65.0,3
6895,other,3600.0,5.0,110.0,5
6896,Kanakpura Road,1593.0,3.0,118.0,3
6897,other,1333.0,2.0,77.27,2
6898,other,1100.0,3.0,110.0,3
6899,Raja Rajeshwari Nagar,1375.0,2.0,54.99,3
6900,Ardendale,1650.0,3.0,82.0,3
6901,Thanisandra,1430.0,2.0,51.48,3
6902,Electronic City,940.0,2.0,54.0,2
6903,Electronic City,435.0,1.0,21.0,1
6904,Begur Road,1160.0,2.0,36.54,2
6905,Electronic City,1500.0,2.0,77.5,3
6906,Koramangala,1890.0,2.0,100.0,3
6907,other,1050.0,2.0,70.0,2
6908,Singasandra,1200.0,6.0,220.0,6
6909,Haralur Road,1027.0,2.0,43.0,2
6910,Whitefield,1495.0,2.0,61.28,3
6911,Seegehalli,3000.0,4.0,235.0,3
6912,Tumkur Road,1459.0,2.0,95.0,3
6913,Yelahanka,1711.0,3.0,85.61,3
6914,Hoodi,1250.0,2.0,98.0,2
6915,Chandapura,645.0,1.0,16.45,1
6916,Anandapura,875.0,2.0,57.0,2
6917,Ramamurthy Nagar,1334.0,2.0,67.0,2
6918,other,1140.0,2.0,32.92,2
6919,Sarjapur  Road,1115.0,2.0,50.0,2
6920,Amruthahalli,1200.0,5.0,200.0,3
6921,Rajaji Nagar,1776.0,3.0,190.0,3
6922,Thigalarapalya,2072.0,4.0,160.0,3
6923,Kundalahalli,1600.0,3.0,170.0,3
6924,other,1200.0,4.0,115.0,6
6925,Kengeri Satellite Town,920.0,2.0,39.0,2
6926,Chandapura,778.0,2.0,25.29,2
6927,Nagasandra,1310.0,3.0,95.0,4
6928,Electronic City,1631.0,3.0,80.0,3
6929,Kanakpura Road,525.0,1.0,27.5,1
6930,Jalahalli,1395.0,3.0,82.0,3
6931,other,2000.0,3.0,105.0,3
6932,Hennur Road,1232.0,2.0,66.0,2
6933,other,1075.0,2.0,55.0,2
6934,Gubbalala,1205.0,2.0,70.0,2
6935,other,1200.0,4.0,165.0,4
6936,Rajiv Nagar,2340.0,5.0,129.0,4
6937,Rayasandra,1179.0,2.0,55.0,3
6938,Kodigehaali,1013.0,2.0,51.0,2
6939,Uttarahalli,1160.0,2.0,40.6,2
6940,7th Phase JP Nagar,1200.0,2.0,62.5,2
6941,other,1200.0,5.0,80.0,7
6942,Uttarahalli,1255.0,2.0,50.19,3
6943,other,1100.0,2.0,145.0,3
6944,other,1069.0,2.0,55.0,2
6945,other,1200.0,3.0,99.0,3
6946,Kudlu Gate,1400.0,1.0,285.0,1
6947,Marathahalli,1065.0,2.0,55.0,2
6948,Lakshminarayana Pura,1395.0,2.0,75.0,2
6949,Hebbal Kempapura,1725.0,2.0,165.0,3
6950,other,1007.0,2.0,43.0,2
6951,Kengeri,1436.0,2.0,55.0,3
6952,other,4250.0,6.0,150.0,6
6953,Hebbal,1645.0,3.0,117.0,3
6954,Kengeri,1200.0,2.0,58.0,2
6955,Mysore Road,940.0,2.0,43.61,2
6956,KR Puram,4300.0,6.0,175.0,6
6957,Hebbal,2850.0,5.0,343.0,3
6958,Indira Nagar,1740.0,3.0,191.0,3
6959,Haralur Road,1194.0,2.0,47.0,2
6960,Sadashiva Nagar,3761.0,3.0,650.0,3
6961,Dodda Nekkundi,1829.0,3.0,125.0,3
6962,Whitefield,1800.0,4.0,178.0,4
6963,other,1000.0,2.0,60.0,2
6964,other,5720.0,3.0,350.0,3
6965,other,800.0,4.0,98.0,5
6966,other,675.0,1.0,15.0,2
6967,Hebbal,1390.0,2.0,95.0,2
6968,Lakshminarayana Pura,1500.0,3.0,104.0,3
6969,Vijayanagar,2047.0,3.0,136.0,3
6970,Jakkur,1202.0,2.0,79.0,2
6971,other,1012.0,2.0,59.0,2
6972,Gunjur,2132.0,3.0,80.0,3
6973,Raja Rajeshwari Nagar,1350.0,4.0,340.0,4
6974,Whitefield,605.0,1.0,40.0,1
6975,Harlur,1331.0,2.0,88.0,2
6976,Margondanahalli,1200.0,2.0,69.0,2
6977,other,1150.0,2.0,250.0,2
6978,Sahakara Nagar,1200.0,2.0,136.0,2
6979,other,1800.0,2.0,300.0,2
6980,Kammanahalli,600.0,2.0,50.0,3
6981,other,1280.0,2.0,49.0,3
6982,Balagere,1007.0,2.0,62.0,2
6983,Thanisandra,1370.0,2.0,61.0,3
6984,Kalkere,925.0,2.0,35.0,2
6985,TC Palaya,1500.0,2.0,75.0,2
6986,Attibele,450.0,1.0,12.5,1
6987,other,1200.0,4.0,140.0,4
6988,Hennur Road,1341.0,2.0,95.0,2
6989,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
6990,Tumkur Road,992.0,2.0,60.0,2
6991,Uttarahalli,1163.0,2.0,68.0,2
6992,Sarjapur  Road,1229.0,2.0,70.0,2
6993,other,600.0,2.0,39.0,2
6994,Electronic City Phase II,1219.0,2.0,61.26,2
6995,Raja Rajeshwari Nagar,1525.0,2.0,99.13,3
6996,Kasavanhalli,1147.0,2.0,60.0,2
6997,Akshaya Nagar,1412.0,2.0,88.0,3
6998,Munnekollal,1200.0,9.0,215.0,9
6999,Sarjapur  Road,1044.0,2.0,34.77,2
7000,Nagarbhavi,1190.0,2.0,63.0,2
7001,Nagadevanahalli,1240.0,2.0,65.0,3
7002,Jigani,1352.0,3.0,65.0,3
7003,other,1100.0,2.0,55.0,2
7004,Uttarahalli,1330.0,2.0,39.9,3
7005,other,1700.0,3.0,111.0,3
7006,Electronic City,1355.0,2.0,67.0,2
7007,Ramamurthy Nagar,1200.0,2.0,46.0,2
7008,Kengeri,400.0,2.0,25.0,1
7009,Sarjapur  Road,1342.0,2.0,70.0,2
7010,Begur Road,1615.0,3.0,50.87,3
7011,other,1340.0,2.0,65.0,2
7012,other,1200.0,2.0,54.0,2
7013,Yeshwanthpur,400.0,1.0,55.0,1
7014,Devanahalli,1080.0,2.0,52.0,2
7015,other,1600.0,2.0,31.0,2
7016,Electronic City,1200.0,2.0,34.0,2
7017,Hennur Road,2700.0,3.0,150.0,3
7018,other,1780.0,3.0,110.0,3
7019,Amruthahalli,1605.0,3.0,65.0,3
7020,Ulsoor,7200.0,5.0,1584.0,4
7021,other,646.0,2.0,65.0,3
7022,Kammanahalli,1200.0,2.0,80.0,2
7023,Margondanahalli,900.0,2.0,49.0,2
7024,Sarjapur,1830.0,3.0,88.0,3
7025,Vishwapriya Layout,690.0,4.0,83.0,5
7026,other,1800.0,4.0,68.0,5
7027,Chandapura,715.0,2.0,32.0,3
7028,Chandapura,1230.0,2.0,31.37,3
7029,Uttarahalli,1065.0,2.0,42.59,2
7030,other,1350.0,8.0,185.0,8
7031,other,1080.0,3.0,149.0,3
7032,other,900.0,2.0,65.0,3
7033,other,946.0,2.0,45.0,2
7034,Laggere,1500.0,1.0,60.0,1
7035,Sarjapur  Road,1711.0,3.0,110.0,3
7036,other,1200.0,3.0,160.0,4
7037,Chandapura,950.0,2.0,25.65,2
7038,Kudlu Gate,1656.0,3.0,80.0,3
7039,Uttarahalli,1075.0,2.0,46.76,2
7040,Harlur,1752.12,3.0,133.0,3
7041,Hebbal,6000.0,8.0,220.0,8
7042,other,1540.0,3.0,85.0,3
7043,6th Phase JP Nagar,600.0,4.0,125.0,4
7044,LB Shastri Nagar,665.0,1.0,32.0,1
7045,Sector 2 HSR Layout,1665.0,3.0,110.0,3
7046,Electronics City Phase 1,1145.0,2.0,54.0,2
7047,Whitefield,1185.0,2.0,41.0,2
7048,other,1200.0,3.0,190.0,3
7049,Marathahalli,1693.0,3.0,125.0,3
7050,other,2456.0,3.0,220.0,3
7051,Rajaji Nagar,2559.0,3.0,403.0,3
7052,Uttarahalli,1155.0,2.0,40.6,2
7053,other,1610.0,2.0,64.4,3
7054,Whitefield,1200.0,3.0,56.58,3
7055,other,1530.0,2.0,185.0,2
7056,EPIP Zone,1709.0,3.0,80.0,3
7057,Amruthahalli,600.0,4.0,60.0,4
7058,Brookefield,2700.0,8.0,290.0,8
7059,other,840.0,1.0,150.0,1
7060,Gottigere,1400.0,2.0,50.0,3
7061,KR Puram,1200.0,2.0,42.0,2
7062,other,1439.0,3.0,57.23,3
7063,Kasavanhalli,1375.0,2.0,72.0,2
7064,BTM 2nd Stage,2990.0,5.0,416.0,5
7065,Vijayanagar,1200.0,2.0,75.0,3
7066,Yelahanka,1315.0,2.0,75.0,2
7067,Dommasandra,1500.0,2.0,40.0,2
7068,Yelahanka,3600.0,6.0,200.0,6
7069,Vijayanagar,1178.0,2.0,82.0,2
7070,Bannerghatta Road,1430.0,3.0,59.0,3
7071,Mahadevpura,1400.0,2.0,65.8,3
7072,Thanisandra,1093.0,2.0,72.0,2
7073,Horamavu Banaswadi,1200.0,2.0,45.0,2
7074,Magadi Road,5000.0,6.0,360.0,5
7075,1st Block Jayanagar,1200.0,2.0,130.0,3
7076,Whitefield,2210.0,3.0,156.0,3
7077,Uttarahalli,1150.0,2.0,70.0,2
7078,other,1435.0,2.0,60.0,3
7079,other,600.0,3.0,100.0,4
7080,Whitefield,1173.0,2.0,78.2,2
7081,Thanisandra,1140.0,2.0,39.0,2
7082,other,1717.0,3.0,120.0,3
7083,Mallasandra,1325.0,2.0,65.0,2
7084,Hoodi,1370.0,3.0,67.0,3
7085,Electronics City Phase 1,1025.0,2.0,90.0,2
7086,other,1409.0,2.0,62.0,3
7087,Bellandur,1200.0,2.0,52.0,2
7088,Thanisandra,1200.0,2.0,53.5,2
7089,Whitefield,1740.0,4.0,130.0,3
7090,Hennur Road,1232.0,2.0,88.0,2
7091,Chandapura,1200.0,2.0,36.0,2
7092,Whitefield,5924.0,4.0,625.0,4
7093,other,1250.0,2.0,50.0,2
7094,other,1475.0,2.0,171.0,2
7095,Bommanahalli,2100.0,4.0,85.0,4
7096,5th Phase JP Nagar,552.0,1.0,23.5,1
7097,Uttarahalli,1065.0,2.0,42.59,3
7098,Hennur,1000.0,3.0,130.0,3
7099,other,1225.0,2.0,65.0,2
7100,other,650.0,1.0,16.0,1
7101,Padmanabhanagar,1067.0,2.0,52.0,2
7102,Sarjapur,1364.0,2.0,56.0,3
7103,other,1750.0,3.0,75.0,3
7104,Bannerghatta Road,1240.0,2.0,71.0,2
7105,Hulimavu,1200.0,2.0,75.0,2
7106,Kaggadasapura,1540.0,3.0,75.0,3
7107,other,1504.0,2.0,102.0,3
7108,other,1116.0,2.0,49.8,2
7109,Hennur Road,2365.0,4.0,175.0,3
7110,Sarjapura - Attibele Road,1308.0,2.0,37.0,2
7111,Vijayanagar,864.0,2.0,45.0,2
7112,Vidyaranyapura,1200.0,5.0,139.0,5
7113,Hoskote,1069.0,2.0,38.0,3
7114,Hebbal,1333.0,2.0,100.0,2
7115,other,1800.0,4.0,145.0,4
7116,Devanahalli,6136.0,4.0,550.0,4
7117,Thanisandra,1698.0,3.0,107.0,3
7118,JP Nagar,1275.0,2.0,43.6,3
7119,Raja Rajeshwari Nagar,1060.0,2.0,48.0,2
7120,Hennur,1160.0,2.0,49.0,2
7121,Sarjapur  Road,1484.0,2.0,65.0,3
7122,Hosa Road,675.0,3.0,70.0,3
7123,BEML Layout,1200.0,5.0,325.0,3
7124,Hennur Road,1310.0,2.0,66.0,2
7125,Vijayanagar,1806.0,6.0,370.0,6
7126,other,3000.0,4.0,240.0,4
7127,Varthur,2145.0,3.0,165.0,3
7128,Marathahalli,1693.0,3.0,125.0,3
7129,Jigani,1230.0,3.0,60.0,3
7130,Devanahalli,1200.0,3.0,145.0,3
7131,Bommasandra Industrial Area,1310.0,2.0,37.83,3
7132,other,1150.0,2.0,60.0,2
7133,Munnekollal,1385.0,2.0,66.5,3
7134,Tumkur Road,1066.0,2.0,52.5,2
7135,Thanisandra,2293.0,3.0,80.26,3
7136,Tindlu,720.0,3.0,81.0,3
7137,other,1625.0,3.0,92.0,3
7138,Vittasandra,1246.0,2.0,67.4,2
7139,Vijayanagar,2100.0,6.0,252.0,4
7140,other,2400.0,4.0,250.0,4
7141,Raja Rajeshwari Nagar,3900.0,6.0,195.0,6
7142,7th Phase JP Nagar,1000.0,2.0,70.65,2
7143,Nagavarapalya,907.0,2.0,38.0,2
7144,Ulsoor,3500.0,4.0,138.0,4
7145,Varthur,1395.0,2.0,79.0,3
7146,other,1180.0,2.0,50.0,2
7147,Banaswadi,1903.0,6.0,140.0,5
7148,Electronic City,1175.0,2.0,47.0,2
7149,other,1272.0,2.0,51.5,2
7150,other,1490.0,2.0,92.0,3
7151,Yeshwanthpur,1144.0,2.0,67.0,2
7152,other,2400.0,5.0,140.0,4
7153,Hormavu,1143.0,2.0,53.0,2
7154,Karuna Nagar,2500.0,3.0,190.0,3
7155,Whitefield,1216.0,2.0,75.0,2
7156,other,1044.0,2.0,60.0,2
7157,Prithvi Layout,1352.0,3.0,93.0,2
7158,Hennur Road,1552.0,3.0,75.0,3
7159,Bellandur,1785.0,3.0,120.0,3
7160,Pai Layout,810.0,2.0,34.5,2
7161,Banashankari Stage V,1650.0,3.0,51.98,3
7162,other,1595.0,3.0,70.39,3
7163,Whitefield,1060.0,2.0,35.0,2
7164,Babusapalaya,1410.0,2.0,65.0,3
7165,Nagarbhavi,1523.0,2.0,56.0,3
7166,Kanakpura Road,1591.0,3.0,122.0,3
7167,other,1640.0,3.0,84.0,3
7168,Yelahanka New Town,450.0,1.0,16.0,1
7169,Bannerghatta Road,1305.0,2.0,60.0,3
7170,Yelahanka,1590.0,3.0,54.0,3
7171,Kaggadasapura,1240.0,2.0,45.0,2
7172,other,1200.0,2.0,54.0,2
7173,Dodda Nekkundi,1100.0,2.0,41.16,2
7174,Koramangala,1180.0,2.0,128.0,2
7175,Sarjapur  Road,1115.0,2.0,50.0,2
7176,Bisuvanahalli,845.0,2.0,33.0,2
7177,other,1567.2,2.0,190.0,3
7178,Channasandra,1310.0,2.0,45.0,3
7179,Yelahanka,26136.0,1.0,150.0,1
7180,other,959.0,2.0,42.5,2
7181,8th Phase JP Nagar,1200.0,4.0,140.0,4
7182,Kambipura,883.0,2.0,37.0,2
7183,Rachenahalli,1050.0,2.0,55.5,2
7184,Yelahanka,1390.0,2.0,70.21,2
7185,Kenchenahalli,1280.0,2.0,69.0,3
7186,other,1280.0,5.0,150.0,7
7187,Yelahanka,1614.0,3.0,95.0,3
7188,Kasturi Nagar,1000.0,2.0,58.0,2
7189,Marathahalli,1196.0,2.0,57.9,2
7190,Sarjapur  Road,1220.0,3.0,57.0,3
7191,Ambalipura,950.0,2.0,31.95,2
7192,other,2400.0,8.0,325.0,9
7193,other,1141.0,2.0,55.0,2
7194,5th Phase JP Nagar,1200.0,2.0,51.0,2
7195,Kasavanhalli,1380.0,2.0,55.0,3
7196,Doddathoguru,855.0,2.0,32.0,2
7197,Chandapura,645.0,1.0,16.45,1
7198,Chandapura,922.0,2.0,36.0,2
7199,Nagappa Reddy Layout,1200.0,2.0,43.2,2
7200,Nagadevanahalli,1240.0,2.0,65.0,3
7201,7th Phase JP Nagar,1070.0,2.0,42.0,2
7202,other,1293.0,2.0,75.0,2
7203,R.T. Nagar,1380.0,2.0,50.0,3
7204,Yelahanka New Town,1599.0,3.0,80.0,3
7205,Nehru Nagar,967.0,2.0,41.1,2
7206,other,1885.0,3.0,90.0,3
7207,1st Block Koramangala,860.0,2.0,65.5,2
7208,Yelahanka,1075.0,1.0,19.5,1
7209,Sarjapur  Road,1050.0,2.0,63.5,2
7210,Marathahalli,1595.0,3.0,88.0,3
7211,Sarjapur  Road,1350.0,2.0,102.0,2
7212,Hebbal,1204.0,2.0,45.0,2
7213,Sarjapur  Road,2990.0,4.0,240.0,4
7214,Sarjapur  Road,1035.0,2.0,49.0,2
7215,ITPL,1000.0,2.0,29.95,2
7216,Sarjapur  Road,1457.0,3.0,85.0,3
7217,Haralur Road,1194.0,2.0,47.0,2
7218,Bannerghatta,1100.0,2.0,66.0,2
7219,Whitefield,1655.0,3.0,120.0,3
7220,Kanakpura Road,1691.2,3.0,115.0,3
7221,Ramagondanahalli,1215.0,2.0,46.1,2
7222,Kanakpura Road,1155.0,2.0,50.125,2
7223,Hoodi,1639.0,3.0,129.0,3
7224,Sarjapur  Road,1685.0,3.0,135.0,3
7225,other,1008.0,4.0,180.0,5
7226,Hormavu,1100.0,2.0,38.0,2
7227,Marathahalli,2122.0,3.0,125.0,3
7228,Vasanthapura,1050.0,2.0,47.0,2
7229,Kengeri,1230.0,2.0,45.0,2
7230,5th Phase JP Nagar,1240.0,3.0,60.0,3
7231,Electronic City Phase II,1252.0,2.0,65.0,3
7232,other,1374.0,2.0,88.0,3
7233,8th Phase JP Nagar,500.0,1.0,30.0,1
7234,Arekere,1200.0,8.0,225.0,8
7235,Hebbal,1355.0,3.0,83.87,3
7236,Banashankari,1040.0,2.0,45.0,2
7237,Sarjapur  Road,1350.0,2.0,68.0,2
7238,Whitefield,4003.0,6.0,300.0,4
7239,Hennur,2400.0,3.0,135.0,3
7240,Haralur Road,1560.0,3.0,90.0,3
7241,Anandapura,1151.0,2.0,43.16,2
7242,Uttarahalli,1360.0,2.0,47.59,3
7243,other,1250.0,2.0,60.0,2
7244,Chandapura,1110.0,2.0,29.97,3
7245,Hennur Road,1015.0,2.0,50.0,2
7246,Kadugodi,1351.0,2.0,78.0,3
7247,Yelahanka New Town,960.0,2.0,50.0,2
7248,other,1110.0,2.0,52.0,2
7249,R.T. Nagar,1680.0,3.0,72.0,3
7250,Arekere,2400.0,3.0,180.0,3
7251,other,11000.0,5.0,2000.0,4
7252,other,1350.0,3.0,48.6,3
7253,Horamavu Banaswadi,1254.0,2.0,47.0,2
7254,Haralur Road,1255.0,3.0,115.0,3
7255,CV Raman Nagar,1051.0,2.0,61.0,2
7256,other,1200.0,3.0,205.0,3
7257,Uttarahalli,1099.0,2.0,65.0,2
7258,Hebbal,2650.0,4.0,199.0,3
7259,other,2000.0,2.0,160.0,4
7260,Yeshwanthpur,1541.0,2.0,130.0,2
7261,Sarjapur  Road,1200.0,3.0,70.0,3
7262,Whitefield,1125.0,2.0,45.0,2
7263,Vittasandra,1650.0,3.0,85.0,3
7264,other,834.0,1.0,62.0,1
7265,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
7266,Malleshpalya,1200.0,3.0,149.0,3
7267,other,1000.0,7.0,160.0,8
7268,Mysore Road,1500.0,3.0,74.0,3
7269,Whitefield,4400.0,5.0,500.0,4
7270,other,600.0,1.0,52.0,1
7271,Whitefield,1180.0,2.0,70.0,2
7272,Kadugodi,1010.0,2.0,50.0,2
7273,Channasandra,1070.0,2.0,38.0,2
7274,Choodasandra,1580.0,3.0,105.0,3
7275,other,1200.0,5.0,325.0,4
7276,Green Glen Layout,2000.0,3.0,165.0,3
7277,Iblur Village,1920.0,3.0,130.0,3
7278,Sanjay nagar,1200.0,2.0,76.0,3
7279,Kalena Agrahara,1040.0,2.0,45.0,2
7280,Hulimavu,1430.0,2.0,90.0,3
7281,Uttarahalli,1215.0,2.0,52.85,3
7282,Domlur,650.0,1.0,70.0,1
7283,Thanisandra,1564.0,3.0,105.0,3
